,,,
Source: A&E Datamart,,,
Data from: 1st Janury 2015 - 31st December 2016,,,
Data extracted: 15th November 2017,,,
,,,
Arrival Date,Treatment NHS Board Description - as at date of episode,Treatment Location Name,Number Of Attendances
03-Jan-2015,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,330
03-Jan-2015,NHS LOTHIAN,ST JOHN'S HOSPITAL,139
03-Jan-2015,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,105
03-Jan-2015,NHS ORKNEY,BALFOUR HOSPITAL,14
03-Jan-2015,NHS SHETLAND,GILBERT BAIN HOSPITAL,19
03-Jan-2015,NHS TAYSIDE,ABERFELDY COTTAGE HOSPITAL,1
03-Jan-2015,NHS TAYSIDE,ARBROATH INFIRMARY,62
03-Jan-2015,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,23
03-Jan-2015,NHS TAYSIDE,BRECHIN INFIRMARY,15
03-Jan-2015,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,16
03-Jan-2015,NHS TAYSIDE,LINKS HEALTH CENTRE,32
03-Jan-2015,NHS TAYSIDE,NINEWELLS HOSPITAL,139
03-Jan-2015,NHS TAYSIDE,PERTH ROYAL INFIRMARY,71
03-Jan-2015,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,13
03-Jan-2015,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,32
03-Jan-2015,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,23
04-Jan-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,104
04-Jan-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,173
04-Jan-2015,NHS BORDERS,BORDERS GENERAL HOSPITAL,84
04-Jan-2015,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,105
04-Jan-2015,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,37
04-Jan-2015,NHS DUMFRIES & GALLOWAY,NEWTON STEWART HOSPITAL,1
04-Jan-2015,NHS FIFE,QUEEN MARGARET HOSPITAL,58
04-Jan-2015,NHS FIFE,VICTORIA HOSPITAL,179
04-Jan-2015,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,188
04-Jan-2015,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,37
04-Jan-2015,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,162
04-Jan-2015,NHS GRAMPIAN,DR GRAY'S HOSPITAL,71
04-Jan-2015,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,40
04-Jan-2015,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,223
04-Jan-2015,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,87
04-Jan-2015,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,164
04-Jan-2015,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,123
04-Jan-2015,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,193
04-Jan-2015,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,136
04-Jan-2015,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,42
04-Jan-2015,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,35
04-Jan-2015,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,152
04-Jan-2015,NHS HIGHLAND,BELFORD HOSPITAL,17
04-Jan-2015,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,11
04-Jan-2015,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,14
04-Jan-2015,NHS HIGHLAND,RAIGMORE HOSPITAL,81
04-Jan-2015,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,146
04-Jan-2015,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,157
04-Jan-2015,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,193
04-Jan-2015,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),127
04-Jan-2015,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,324
04-Jan-2015,NHS LOTHIAN,ST JOHN'S HOSPITAL,146
04-Jan-2015,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,87
04-Jan-2015,NHS ORKNEY,BALFOUR HOSPITAL,19
04-Jan-2015,NHS SHETLAND,GILBERT BAIN HOSPITAL,20
04-Jan-2015,NHS TAYSIDE,ARBROATH INFIRMARY,69
04-Jan-2015,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,12
04-Jan-2015,NHS TAYSIDE,BRECHIN INFIRMARY,9
04-Jan-2015,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,9
04-Jan-2015,NHS TAYSIDE,LINKS HEALTH CENTRE,14
04-Jan-2015,NHS TAYSIDE,NINEWELLS HOSPITAL,136
04-Jan-2015,NHS TAYSIDE,PERTH ROYAL INFIRMARY,74
04-Jan-2015,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,5
04-Jan-2015,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,23
04-Jan-2015,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,18
05-Jan-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,121
05-Jan-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,213
05-Jan-2015,NHS BORDERS,BORDERS GENERAL HOSPITAL,82
05-Jan-2015,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,110
05-Jan-2015,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,24
05-Jan-2015,NHS FIFE,QUEEN MARGARET HOSPITAL,56
05-Jan-2015,NHS FIFE,VICTORIA HOSPITAL,192
05-Jan-2015,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,160
05-Jan-2015,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,33
05-Jan-2015,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,188
05-Jan-2015,NHS GRAMPIAN,DR GRAY'S HOSPITAL,69
05-Jan-2015,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,46
05-Jan-2015,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,248
05-Jan-2015,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,104
05-Jan-2015,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,258
05-Jan-2015,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,172
05-Jan-2015,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,179
05-Jan-2015,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,122
05-Jan-2015,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,47
05-Jan-2015,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,43
05-Jan-2015,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,178
05-Jan-2015,NHS HIGHLAND,BELFORD HOSPITAL,22
05-Jan-2015,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,22
05-Jan-2015,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,14
05-Jan-2015,NHS HIGHLAND,RAIGMORE HOSPITAL,84
05-Jan-2015,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,179
05-Jan-2015,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,212
05-Jan-2015,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,215
05-Jan-2015,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),106
05-Jan-2015,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,341
05-Jan-2015,NHS LOTHIAN,ST JOHN'S HOSPITAL,162
05-Jan-2015,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,163
05-Jan-2015,NHS ORKNEY,BALFOUR HOSPITAL,15
05-Jan-2015,NHS SHETLAND,GILBERT BAIN HOSPITAL,31
05-Jan-2015,NHS TAYSIDE,ARBROATH INFIRMARY,38
05-Jan-2015,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,1
05-Jan-2015,NHS TAYSIDE,BRECHIN INFIRMARY,9
05-Jan-2015,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,4
05-Jan-2015,NHS TAYSIDE,LINKS HEALTH CENTRE,18
05-Jan-2015,NHS TAYSIDE,NINEWELLS HOSPITAL,122
05-Jan-2015,NHS TAYSIDE,PERTH ROYAL INFIRMARY,54
05-Jan-2015,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,4
05-Jan-2015,NHS TAYSIDE,ST MARGARET'S HOSPITAL,1
05-Jan-2015,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,14
05-Jan-2015,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,31
06-Jan-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,120
06-Jan-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,181
06-Jan-2015,NHS BORDERS,BORDERS GENERAL HOSPITAL,90
06-Jan-2015,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,95
06-Jan-2015,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,20
06-Jan-2015,NHS FIFE,QUEEN MARGARET HOSPITAL,51
06-Jan-2015,NHS FIFE,VICTORIA HOSPITAL,160
06-Jan-2015,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,160
06-Jan-2015,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,28
06-Jan-2015,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,140
06-Jan-2015,NHS GRAMPIAN,DR GRAY'S HOSPITAL,53
06-Jan-2015,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,34
06-Jan-2015,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,232
06-Jan-2015,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,95
06-Jan-2015,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,233
06-Jan-2015,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,126
06-Jan-2015,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,165
06-Jan-2015,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,124
06-Jan-2015,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,52
06-Jan-2015,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,39
06-Jan-2015,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,150
06-Jan-2015,NHS HIGHLAND,BELFORD HOSPITAL,21
06-Jan-2015,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,17
06-Jan-2015,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,17
06-Jan-2015,NHS HIGHLAND,RAIGMORE HOSPITAL,72
06-Jan-2015,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,153
06-Jan-2015,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,175
06-Jan-2015,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,164
06-Jan-2015,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),90
06-Jan-2015,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,342
06-Jan-2015,NHS LOTHIAN,ST JOHN'S HOSPITAL,140
06-Jan-2015,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,120
06-Jan-2015,NHS ORKNEY,BALFOUR HOSPITAL,18
06-Jan-2015,NHS SHETLAND,GILBERT BAIN HOSPITAL,21
06-Jan-2015,NHS TAYSIDE,ARBROATH INFIRMARY,27
06-Jan-2015,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,5
06-Jan-2015,NHS TAYSIDE,BRECHIN INFIRMARY,2
06-Jan-2015,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,2
06-Jan-2015,NHS TAYSIDE,LINKS HEALTH CENTRE,15
06-Jan-2015,NHS TAYSIDE,NINEWELLS HOSPITAL,107
06-Jan-2015,NHS TAYSIDE,PERTH ROYAL INFIRMARY,43
06-Jan-2015,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,2
06-Jan-2015,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,8
06-Jan-2015,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,15
07-Jan-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,109
07-Jan-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,191
07-Jan-2015,NHS BORDERS,BORDERS GENERAL HOSPITAL,75
07-Jan-2015,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,99
07-Jan-2015,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,23
07-Jan-2015,NHS DUMFRIES & GALLOWAY,NEWTON STEWART HOSPITAL,1
07-Jan-2015,NHS FIFE,QUEEN MARGARET HOSPITAL,56
07-Jan-2015,NHS FIFE,VICTORIA HOSPITAL,168
07-Jan-2015,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,142
07-Jan-2015,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,37
07-Jan-2015,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,132
07-Jan-2015,NHS GRAMPIAN,DR GRAY'S HOSPITAL,67
07-Jan-2015,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,50
07-Jan-2015,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,219
07-Jan-2015,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,78
07-Jan-2015,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,191
07-Jan-2015,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,120
07-Jan-2015,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,162
07-Jan-2015,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,105
07-Jan-2015,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,29
07-Jan-2015,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,37
07-Jan-2015,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,117
07-Jan-2015,NHS HIGHLAND,BELFORD HOSPITAL,18
07-Jan-2015,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,10
07-Jan-2015,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,12
07-Jan-2015,NHS HIGHLAND,RAIGMORE HOSPITAL,62
07-Jan-2015,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,145
07-Jan-2015,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,182
07-Jan-2015,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,145
07-Jan-2015,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),92
07-Jan-2015,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,282
07-Jan-2015,NHS LOTHIAN,ST JOHN'S HOSPITAL,121
07-Jan-2015,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,110
07-Jan-2015,NHS ORKNEY,BALFOUR HOSPITAL,11
07-Jan-2015,NHS SHETLAND,GILBERT BAIN HOSPITAL,19
07-Jan-2015,NHS TAYSIDE,ABERFELDY COTTAGE HOSPITAL,2
07-Jan-2015,NHS TAYSIDE,ARBROATH INFIRMARY,24
07-Jan-2015,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,3
07-Jan-2015,NHS TAYSIDE,BRECHIN INFIRMARY,4
