Arrival Date,Treatment NHS Board Description - as at date of episode,Location Name,Number Of Attendances
01-Jan-17,NHS HIGHLAND,BELFORD HOSPITAL,22
01-Jan-17,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,16
01-Jan-17,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,24
01-Jan-17,NHS HIGHLAND,RAIGMORE HOSPITAL,133
01-Jan-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL HAIRMYRES,154
01-Jan-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL MONKLANDS ,140
01-Jan-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL WISHAW ,169
01-Jan-17,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),97
01-Jan-17,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,363
01-Jan-17,NHS LOTHIAN,ST JOHN'S HOSPITAL,142
01-Jan-17,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,78
01-Jan-17,NHS ORKNEY,BALFOUR HOSPITAL,18
01-Jan-17,NHS SHETLAND,GILBERT BAIN HOSPITAL,28
01-Jan-17,NHS TAYSIDE,ARBROATH INFIRMARY,37
01-Jan-17,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,4
01-Jan-17,NHS TAYSIDE,BRECHIN INFIRMARY,5
01-Jan-17,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,5
01-Jan-17,NHS TAYSIDE,LINKS HEALTH CENTRE,14
01-Jan-17,NHS TAYSIDE,NINEWELLS HOSPITAL,181
01-Jan-17,NHS TAYSIDE,PERTH ROYAL INFIRMARY,63
01-Jan-17,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,8
01-Jan-17,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,23
01-Jan-17,NHS WESTERN ISLES,UIST & BARRA HOSPITAL,2
01-Jan-17,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,14
02-Jan-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,132
02-Jan-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,186
02-Jan-17,NHS BORDERS,BORDERS GENERAL HOSPITAL,104
02-Jan-17,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,122
02-Jan-17,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,42
02-Jan-17,NHS FIFE,QUEEN MARGARET HOSPITAL,59
02-Jan-17,NHS FIFE,VICTORIA HOSPITAL,193
02-Jan-17,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,177
02-Jan-17,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,34
02-Jan-17,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,182
02-Jan-17,NHS GRAMPIAN,DR GRAY'S HOSPITAL,79
02-Jan-17,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,45
02-Jan-17,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,278
02-Jan-17,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,74
02-Jan-17,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,84
02-Jan-17,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,275
02-Jan-17,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,242
02-Jan-17,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,139
02-Jan-17,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,45
02-Jan-17,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,54
02-Jan-17,NHS HIGHLAND,BELFORD HOSPITAL,24
02-Jan-17,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,17
02-Jan-17,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,31
02-Jan-17,NHS HIGHLAND,RAIGMORE HOSPITAL,99
02-Jan-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL HAIRMYRES,164
02-Jan-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL MONKLANDS ,208
02-Jan-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL WISHAW ,207
02-Jan-17,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),121
02-Jan-17,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,361
02-Jan-17,NHS LOTHIAN,ST JOHN'S HOSPITAL,158
02-Jan-17,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,119
02-Jan-17,NHS ORKNEY,BALFOUR HOSPITAL,22
02-Jan-17,NHS SHETLAND,GILBERT BAIN HOSPITAL,20
02-Jan-17,NHS TAYSIDE,ARBROATH INFIRMARY,63
02-Jan-17,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,17
02-Jan-17,NHS TAYSIDE,BRECHIN INFIRMARY,10
02-Jan-17,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,7
02-Jan-17,NHS TAYSIDE,LINKS HEALTH CENTRE,20
02-Jan-17,NHS TAYSIDE,NINEWELLS HOSPITAL,139
02-Jan-17,NHS TAYSIDE,PERTH ROYAL INFIRMARY,70
02-Jan-17,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,11
02-Jan-17,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,25
02-Jan-17,NHS WESTERN ISLES,UIST & BARRA HOSPITAL,6
02-Jan-17,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,17
03-Jan-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,148
03-Jan-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,184
03-Jan-17,NHS BORDERS,BORDERS GENERAL HOSPITAL,102
03-Jan-17,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,105
03-Jan-17,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,39
03-Jan-17,NHS FIFE,QUEEN MARGARET HOSPITAL,52
03-Jan-17,NHS FIFE,VICTORIA HOSPITAL,227
03-Jan-17,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,214
03-Jan-17,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,34
03-Jan-17,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,205
03-Jan-17,NHS GRAMPIAN,DR GRAY'S HOSPITAL,90
03-Jan-17,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,53
03-Jan-17,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,290
03-Jan-17,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,76
03-Jan-17,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,74
03-Jan-17,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,278
03-Jan-17,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,219
03-Jan-17,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,146
03-Jan-17,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,47
03-Jan-17,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,39
03-Jan-17,NHS HIGHLAND,BELFORD HOSPITAL,25
03-Jan-17,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,17
03-Jan-17,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,31
03-Jan-17,NHS HIGHLAND,RAIGMORE HOSPITAL,90
03-Jan-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL HAIRMYRES,205
03-Jan-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL MONKLANDS ,201
03-Jan-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL WISHAW ,207
03-Jan-17,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),110
03-Jan-17,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,367
03-Jan-17,NHS LOTHIAN,ST JOHN'S HOSPITAL,165
03-Jan-17,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,106
03-Jan-17,NHS ORKNEY,BALFOUR HOSPITAL,18
03-Jan-17,NHS SHETLAND,GILBERT BAIN HOSPITAL,15
03-Jan-17,NHS TAYSIDE,ARBROATH INFIRMARY,67
03-Jan-17,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,4
03-Jan-17,NHS TAYSIDE,BRECHIN INFIRMARY,7
03-Jan-17,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,2
03-Jan-17,NHS TAYSIDE,LINKS HEALTH CENTRE,22
03-Jan-17,NHS TAYSIDE,NINEWELLS HOSPITAL,134
03-Jan-17,NHS TAYSIDE,PERTH ROYAL INFIRMARY,86
03-Jan-17,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,10
03-Jan-17,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,35
03-Jan-17,NHS WESTERN ISLES,UIST & BARRA HOSPITAL,9
03-Jan-17,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,16
04-Jan-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,123
04-Jan-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,207
04-Jan-17,NHS BORDERS,BORDERS GENERAL HOSPITAL,82
04-Jan-17,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,109
04-Jan-17,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,36
04-Jan-17,NHS DUMFRIES & GALLOWAY,NEWTON STEWART HOSPITAL,1
04-Jan-17,NHS FIFE,ADAMSON HOSPITAL,5
04-Jan-17,NHS FIFE,QUEEN MARGARET HOSPITAL,49
04-Jan-17,NHS FIFE,VICTORIA HOSPITAL,165
04-Jan-17,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,164
04-Jan-17,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,40
04-Jan-17,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,135
04-Jan-17,NHS GRAMPIAN,DR GRAY'S HOSPITAL,60
04-Jan-17,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,35
04-Jan-17,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,229
04-Jan-17,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,102
04-Jan-17,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,90
04-Jan-17,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,273
04-Jan-17,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,206
04-Jan-17,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,143
04-Jan-17,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,63
04-Jan-17,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,57
04-Jan-17,NHS HIGHLAND,BELFORD HOSPITAL,25
04-Jan-17,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,18
04-Jan-17,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,24
04-Jan-17,NHS HIGHLAND,RAIGMORE HOSPITAL,75
04-Jan-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL HAIRMYRES,188
04-Jan-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL MONKLANDS ,197
04-Jan-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL WISHAW ,173
04-Jan-17,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),109
04-Jan-17,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,349
04-Jan-17,NHS LOTHIAN,ST JOHN'S HOSPITAL,169
04-Jan-17,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,164
04-Jan-17,NHS ORKNEY,BALFOUR HOSPITAL,18
04-Jan-17,NHS SHETLAND,GILBERT BAIN HOSPITAL,16
04-Jan-17,NHS TAYSIDE,ARBROATH INFIRMARY,25
04-Jan-17,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,6
04-Jan-17,NHS TAYSIDE,BRECHIN INFIRMARY,5
04-Jan-17,NHS TAYSIDE,LINKS HEALTH CENTRE,10
04-Jan-17,NHS TAYSIDE,NINEWELLS HOSPITAL,106
04-Jan-17,NHS TAYSIDE,PERTH ROYAL INFIRMARY,58
04-Jan-17,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,5
04-Jan-17,NHS TAYSIDE,ST MARGARET'S HOSPITAL,3
04-Jan-17,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,12
04-Jan-17,NHS WESTERN ISLES,UIST & BARRA HOSPITAL,7
04-Jan-17,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,15
05-Jan-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,113
05-Jan-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,183
05-Jan-17,NHS BORDERS,BORDERS GENERAL HOSPITAL,93
05-Jan-17,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,106
05-Jan-17,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,24
05-Jan-17,NHS FIFE,ADAMSON HOSPITAL,2
05-Jan-17,NHS FIFE,QUEEN MARGARET HOSPITAL,50
05-Jan-17,NHS FIFE,VICTORIA HOSPITAL,144
05-Jan-17,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,152
05-Jan-17,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,39
05-Jan-17,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,134
05-Jan-17,NHS GRAMPIAN,DR GRAY'S HOSPITAL,71
05-Jan-17,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,22
05-Jan-17,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,237
05-Jan-17,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,87
05-Jan-17,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,86
05-Jan-17,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,245
05-Jan-17,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,202
05-Jan-17,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,146
05-Jan-17,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,45
05-Jan-17,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,47
05-Jan-17,NHS HIGHLAND,BELFORD HOSPITAL,22
05-Jan-17,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,12
05-Jan-17,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,22
05-Jan-17,NHS HIGHLAND,RAIGMORE HOSPITAL,75
05-Jan-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL HAIRMYRES,169
05-Jan-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL MONKLANDS ,202
05-Jan-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL WISHAW ,161
05-Jan-17,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),84
05-Jan-17,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,295
05-Jan-17,NHS LOTHIAN,ST JOHN'S HOSPITAL,153
05-Jan-17,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,143
05-Jan-17,NHS ORKNEY,BALFOUR HOSPITAL,11
05-Jan-17,NHS SHETLAND,GILBERT BAIN HOSPITAL,17
05-Jan-17,NHS TAYSIDE,ARBROATH INFIRMARY,24
05-Jan-17,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,6
05-Jan-17,NHS TAYSIDE,BRECHIN INFIRMARY,5
05-Jan-17,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,1
05-Jan-17,NHS TAYSIDE,LINKS HEALTH CENTRE,9
05-Jan-17,NHS TAYSIDE,NINEWELLS HOSPITAL,95
05-Jan-17,NHS TAYSIDE,PERTH ROYAL INFIRMARY,46
05-Jan-17,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,5
05-Jan-17,NHS TAYSIDE,ST MARGARET'S HOSPITAL,1
05-Jan-17,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,8
05-Jan-17,NHS WESTERN ISLES,UIST & BARRA HOSPITAL,6
05-Jan-17,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,18
06-Jan-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,120
06-Jan-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,180
06-Jan-17,NHS BORDERS,BORDERS GENERAL HOSPITAL,66
06-Jan-17,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,104
06-Jan-17,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,23
06-Jan-17,NHS FIFE,ADAMSON HOSPITAL,3
06-Jan-17,NHS FIFE,QUEEN MARGARET HOSPITAL,48
06-Jan-17,NHS FIFE,VICTORIA HOSPITAL,141
06-Jan-17,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,175
06-Jan-17,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,35
06-Jan-17,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,130
06-Jan-17,NHS GRAMPIAN,DR GRAY'S HOSPITAL,47
06-Jan-17,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,22
06-Jan-17,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,241
06-Jan-17,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,102
06-Jan-17,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,74
06-Jan-17,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,252
06-Jan-17,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,186
06-Jan-17,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,141
06-Jan-17,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,49
06-Jan-17,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,48
06-Jan-17,NHS HIGHLAND,BELFORD HOSPITAL,17
06-Jan-17,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,18
06-Jan-17,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,35
06-Jan-17,NHS HIGHLAND,RAIGMORE HOSPITAL,106
06-Jan-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL HAIRMYRES,153
06-Jan-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL MONKLANDS ,195
06-Jan-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL WISHAW ,168
06-Jan-17,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),96
06-Jan-17,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,272
06-Jan-17,NHS LOTHIAN,ST JOHN'S HOSPITAL,145
06-Jan-17,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,132
06-Jan-17,NHS ORKNEY,BALFOUR HOSPITAL,11
06-Jan-17,NHS SHETLAND,GILBERT BAIN HOSPITAL,18
06-Jan-17,NHS TAYSIDE,ARBROATH INFIRMARY,39
06-Jan-17,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,5
06-Jan-17,NHS TAYSIDE,BRECHIN INFIRMARY,1
06-Jan-17,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,2
06-Jan-17,NHS TAYSIDE,LINKS HEALTH CENTRE,8
06-Jan-17,NHS TAYSIDE,NINEWELLS HOSPITAL,96
06-Jan-17,NHS TAYSIDE,PERTH ROYAL INFIRMARY,66
06-Jan-17,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,5
06-Jan-17,NHS TAYSIDE,ST MARGARET'S HOSPITAL,1
06-Jan-17,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,11
06-Jan-17,NHS WESTERN ISLES,UIST & BARRA HOSPITAL,7
06-Jan-17,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,12
07-Jan-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,97
07-Jan-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,170
07-Jan-17,NHS BORDERS,BORDERS GENERAL HOSPITAL,71
07-Jan-17,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,110
07-Jan-17,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,24
07-Jan-17,NHS DUMFRIES & GALLOWAY,NEWTON STEWART HOSPITAL,1
07-Jan-17,NHS FIFE,QUEEN MARGARET HOSPITAL,46
07-Jan-17,NHS FIFE,VICTORIA HOSPITAL,149
07-Jan-17,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,187
07-Jan-17,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,27
07-Jan-17,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,154
07-Jan-17,NHS GRAMPIAN,DR GRAY'S HOSPITAL,63
07-Jan-17,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,25
07-Jan-17,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,227
07-Jan-17,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,78
07-Jan-17,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,63
07-Jan-17,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,240
07-Jan-17,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,181
07-Jan-17,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,136
07-Jan-17,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,29
07-Jan-17,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,32
07-Jan-17,NHS HIGHLAND,BELFORD HOSPITAL,14
07-Jan-17,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,22
07-Jan-17,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,21
07-Jan-17,NHS HIGHLAND,RAIGMORE HOSPITAL,88
07-Jan-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL HAIRMYRES,166
07-Jan-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL MONKLANDS ,162
07-Jan-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL WISHAW ,172
07-Jan-17,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),100
07-Jan-17,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,289
07-Jan-17,NHS LOTHIAN,ST JOHN'S HOSPITAL,123
07-Jan-17,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,93
07-Jan-17,NHS ORKNEY,BALFOUR HOSPITAL,9
07-Jan-17,NHS SHETLAND,GILBERT BAIN HOSPITAL,16
07-Jan-17,NHS TAYSIDE,ARBROATH INFIRMARY,38
07-Jan-17,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,4
07-Jan-17,NHS TAYSIDE,BRECHIN INFIRMARY,7
07-Jan-17,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,3
07-Jan-17,NHS TAYSIDE,LINKS HEALTH CENTRE,22
07-Jan-17,NHS TAYSIDE,NINEWELLS HOSPITAL,93
07-Jan-17,NHS TAYSIDE,PERTH ROYAL INFIRMARY,79
07-Jan-17,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,5
07-Jan-17,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,25
07-Jan-17,NHS WESTERN ISLES,UIST & BARRA HOSPITAL,5
07-Jan-17,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,15
08-Jan-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,86
08-Jan-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,200
08-Jan-17,NHS BORDERS,BORDERS GENERAL HOSPITAL,84
